"","baseMean","log2FoldChange","lfcSE","padj"
"OTAU000074",73.6271075155048,2.81562706838861,0.815767276242373,0.00987973885410117
"OTAU000075",3.47145699437904,-1.07273523270369,0.759718211819246,0.425378122287099
"OTAU000077",191.998314344733,0.280321495068631,0.377118443026563,0.729130530778152
"OTAU000079",13.860168195048,-0.0640167825442969,0.384192613919844,0.950166193368932
"OTAU000080",128.59680783144,0.162251093920779,0.193714114780473,0.688143165260888
"OTAU000081",3.17604785406585,1.63813637158573,0.818521992405067,0.205138505493309
"OTAU000082",11.887550982748,0.421618865628052,0.425111927108485,0.615527523772451
"OTAU000083",1.88621146773276,0.45981277707147,0.790920995565301,0.803413023878515
"OTAU000084",339.964001412356,-0.0761847697736737,0.147896972200518,0.828017440149657
"OTAU000085",2.16312389330079,0.923443117681011,0.933058685399869,0.616595003652037
"OTAU000088",9.16219708742135,-0.383816196005702,0.554076398323062,0.752408774558755
"OTAU000089",727.691692184257,-0.0571064911797174,0.178593465575223,0.901168558196008
"OTAU000090",888.64702463309,-0.0757997584612021,0.0542655580497986,0.431999640070512
"OTAU000091",1724.67730334885,0.16996879813331,0.0732605250591222,0.122611896691355
"OTAU000092",48.5426242458033,0.608155441595049,0.203431332409535,0.0317623615918554
"OTAU000093",53.0235854877682,0.641055133513571,0.343906885120659,0.247209279751907
"OTAU000094",2400.69377060222,-0.230743272940854,0.337274245635069,0.756950830814596
"OTAU000095",181.279465145994,-0.0210526526802573,0.135273742537692,0.954193926984527
"OTAU000096",79.0017252209955,-0.265411491162767,0.128527320071424,0.185843890717387
"OTAU000097",267.272394238406,-0.0727241197815801,0.307826081674823,0.927796093850274
"OTAU000098",31.2525035537329,-0.099189104537986,0.215773968380095,0.848222014129664
"OTAU000099",344.772336001657,-0.0951311534878255,0.0706656144330617,0.453095161065989
"OTAU000100",161.543355946114,-0.287609189726805,0.149670512909275,0.229106333343302
"OTAU000101",1550.2858198724,-0.133943998615754,0.0547788844101782,0.098124911615317
"OTAU000102",583.201293716239,0.221206794832801,0.178360838272607,0.500385421736011
"OTAU000103",791.798839826761,-0.0523320193051968,0.070606769942514,0.730351739825117
"OTAU000105",246.421353261449,-0.402908772645205,0.161287037399174,0.0886376936490401
"OTAU000106",358.495800922647,0.10950395433783,0.126880571570464,0.676679371774722
"OTAU000107",1152.57823084235,0.0707314905672924,0.0816952094930261,0.675705704151551
"OTAU000108",1132.56308319515,0.121741604534137,0.110436404651698,0.56504211644722
"OTAU000109",1.64205258660094,-0.871176892738312,1.23305457369725,0.746981554258301
"OTAU000111",70.2693407114732,1.50360526889322,0.890300290254538,0.307235701370598
"OTAU000112",1.17923217718324,-0.423861195818416,1.41521292467988,NA
"OTAU000113",345.740689466253,-0.311205397890092,0.138121308879756,0.13705955563555
"OTAU000114",121.138955224946,0.00351988527537488,0.141286691383346,0.994206208755899
